Stack,Input,Rule
$,MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,PROGRAMA -> INSTRUCCIONES
$,MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES,MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,INSTRUCCION -> Mientras
$ INSTRUCCIONES,MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,Mientras -> MIENTRAS PARENTESIS_ABRIR CONDICION PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION PARENTESIS_ABRIR,MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION,PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,CONDICION -> EXPRESION CONDICION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION',IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION' EXPRESION',IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,FACTOR -> IDENTIFICADOR FACTOR'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION' EXPRESION' FACTOR',IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION' EXPRESION',MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,FACTOR' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION',MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,EXPRESION' -> COMPARACION FACTOR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION' FACTOR,MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,COMPARACION -> MENOR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION' FACTOR,MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION',ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,FACTOR -> ENTERO
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR CONDICION',ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,CONDICION' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR,PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR,IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,INSTRUCCION -> ASIGNACION AT
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,ASIGNACION -> IDENTIFICADOR IGUAL EXPRESION
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION IGUAL,IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION,IGUAL IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION',IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,FACTOR -> IDENTIFICADOR FACTOR'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION' FACTOR',IDENTIFICADOR MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT EXPRESION',MAS ENTERO AT LLAVE_CERRAR $,FACTOR' -> ''
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,MAS ENTERO AT LLAVE_CERRAR $,EXPRESION' -> OPERADOR FACTOR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT FACTOR,MAS ENTERO AT LLAVE_CERRAR $,OPERADOR -> MAS
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT FACTOR,MAS ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,ENTERO AT LLAVE_CERRAR $,FACTOR -> ENTERO
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES AT,ENTERO AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES,AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR,LLAVE_CERRAR $,INSTRUCCIONES -> ''
$ INSTRUCCIONES,LLAVE_CERRAR $,
$,$,INSTRUCCIONES -> ''
,$,Accept
