Stack,Input,Rule
$,DEF IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,PROGRAMA -> INSTRUCCIONES
$,DEF IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,INSTRUCCIONES -> INSTRUCCION INSTRUCCIONES
$ INSTRUCCIONES,DEF IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,INSTRUCCION -> FUNCION
$ INSTRUCCIONES,DEF IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,FUNCION -> DEF IDENTIFICADOR PARENTESIS_ABRIR PARAMETROS PARENTESIS_CERRAR LLAVE_ABRIR INSTRUCCIONES LLAVE_CERRAR
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR IDENTIFICADOR,DEF IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS PARENTESIS_ABRIR,IDENTIFICADOR PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS,PARENTESIS_ABRIR IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR,IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,PARAMETROS -> EXPRESION PARAMETROS'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS',IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,EXPRESION -> FACTOR EXPRESION'
$ INSTRUCCIONES LLAVE_CERRAR INSTRUCCIONES LLAVE_ABRIR PARENTESIS_CERRAR PARAMETROS' EXPRESION',IDENTIFICADOR COMA IDENTIFICADOR PARENTESIS_CERRAR LLAVE_ABRIR MIENTRAS PARENTESIS_ABRIR IDENTIFICADOR MENOR ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IDENTIFICADOR IGUAL IDENTIFICADOR MAS ENTERO AT SI PARENTESIS_ABRIR IDENTIFICADOR MAYOR_IGUAL ENTERO PARENTESIS_CERRAR LLAVE_ABRIR IMPRIMIR PARENTESIS_ABRIR CADENA COMA IDENTIFICADOR PARENTESIS_CERRAR AT LLAVE_CERRAR SINO LLAVE_ABRIR IDENTIFICADOR IGUAL ENTERO AT LLAVE_CERRAR LLAVE_CERRAR RETORNAR IDENTIFICADOR AT LLAVE_CERRAR $,FACTOR -> IDENTIFICADOR FACTOR'
